"ano","ano2","sinano","c.total","c.rosa","c.7barbas","c.branco","tsm_med_RJ","tsm_coef_RJ","tsm_med_chuv_RJ","tsm_med_seco_RJ","tsm_amp_chuv_RJ","tsm_amp_seco_RJ","prec_med_RJ","prec_coef_RJ","prec_med_chuv_RJ","prec_med_seco_RJ","prec_amp_chuv_RJ","prec_amp_seco_RJ","c.rosa.recon","c.branco.recon","c.7barbas.recon"
1946,1978.29726134516,0.121824258377695,2193.87237582892,0,0,0,25.2733783721924,5.92964537266635,26.6714176177979,24.2484792981829,2.332820892334,2.2678375244141,98.4912942153918,93.3347242924694,182.076387182349,35.9647677689529,291.893023255814,83.9162162162162,328.459589026489,270.062912611444,905.66805150532
1947,1978.1581951452,0.146053512765744,2048.38543875649,0,0,0,24.6817496617635,6.73246420488843,26.4316680908203,23.6161749703544,1.1219367980957,3.0184516906738,74.2316666666667,83.0697618026078,133.974631305514,29.360757020757,227.65,66.4166666666667,451.26810054714,269.333468599784,1006.81373883484
1948,1978.0169113869,0.172069770960413,1902.89850168405,0,0,0,24.4352049827576,6.16136074203506,25.8828971862793,23.3888953072684,2.3053646087647,2.1897163391113,93.0064528913371,93.3723781058277,152.07228919773,34.0626643676644,271.022674418605,75.225,437.239057670949,239.265599448932,959.862587959782
1949,1977.81451639762,0.199739918575767,1698.34466100456,0,0,0,24.3235438664754,7.08627076271705,26.0097541809082,23.1784430912563,1.9494342803955,3.0088863372803,99.1521549895439,98.4317439567724,192.69492132726,38.4009311566148,266.606007751938,77.9749249249249,181.443929885593,200.956073804818,913.783276682758
1950,1978.13855517995,0.228922641255935,2028.02375447461,0,0,0,24.8597793579102,6.20789998710209,26.4651309967041,23.8288034711565,1.460521697998,2.6798229217529,101.359364531809,88.9419595485885,175.467077393358,37.9409588578663,306.075226098191,78.7082582582583,400.085275985256,216.333174105759,940.084781516281
1951,1978.08935271097,0.259469154228751,1977.20963971808,0,0,0,24.0775518417359,7.65588454752618,25.8928272247315,22.805693762643,2.0560569763184,2.9024810791015,101.947978256798,86.8601938419079,163.370475049008,36.0781591488766,273.11311369509,81.9180305305305,262.790967670074,225.874359823924,1117.36014361557
1952,1978.03431908767,0.291223967947714,1920.70146103847,0,0,0,24.5840527216593,5.46904508640959,25.893334197998,23.6497767312186,1.5171890258789,2.0977973937988,98.2539800318356,97.2218603097581,158.96794625838,34.3415444081451,339.027260981912,82.9098744577911,411.389099500677,212.96590174759,907.138306894287
1953,1977.88554563106,0.324025685852127,1769.62857518075,0,0,0,24.8084206581116,6.33109275581063,26.3435325622559,23.7244131905692,1.9752769470215,2.2953987121582,100.055120704649,85.5124076710517,170.440037466229,37.0472345854879,290.663178294574,84.2665665665666,298.400698096139,195.99414124681,885.95391320405
1954,1977.75609131119,0.357707830125175,1640.10664012047,0,0,0,24.6848758061727,6.29257759937918,26.2675338745117,23.6492494855608,2.1101131439209,2.4323120117187,97.8067921340576,84.9481959139814,176.626808454974,36.8717715445387,314.061272609819,81.5751522355689,251.954942824893,186.433112139014,858.771201362549
1955,1978.15010109495,0.392099691203085,2039.98849638892,0,0,0,24.3466714223226,6.63361535615572,25.9670722961426,23.2167835235596,2.0380973815918,2.3781948089599,98.4462811304313,95.5188937577735,163.335011473443,35.4155242896884,283.157402024117,84.2015286119453,281.317322307503,242.418306679898,1028.50738545283
1956,1977.00153891277,0.427027196681726,917.437651768934,0,0,0,24.1338580449422,7.6292094937527,26.0614292144775,22.8598229544503,2.2279663085937,2.6982097625732,101.544685656659,97.0363625268676,161.403129358549,33.7526501044064,279.514583333333,84.8296616060505,291.000124499305,93.3516959707972,740.400711337622
1957,1976.7560419394,0.462313795184892,692.979803288989,0,0,0,24.3473815917969,5.5123941737274,25.6631015777588,23.4122052873884,1.8565006256104,1.7812690734863,86.2364911009292,84.9141450246063,180.874387417064,35.3435565618039,285.781729112834,81.45796572035,188.512614243903,81.1020117329175,625.411889165696
1958,1976.98836416545,0.497781350696491,905.268250345323,0,0,0,24.8942538897196,5.75508042715378,26.2009998321533,23.862644468035,1.6420040130615,2.1157569885254,87.7746648105435,89.5719587121887,181.15978817777,36.7881496887589,297.735576370945,83.4746323870166,195.552463264158,112.117362495826,604.731744710194
1959,1977.56309278634,0.533251042822157,1450.18700298037,0,0,0,25.2249258359273,6.26529746001112,26.8494495391846,24.1994383675712,1.1575984954834,3.041696548462,97.4963430477,86.7249710543981,172.828548647483,35.9552725234578,254.934749138674,82.7715489988445,347.909453957214,160.832656962869,709.343375668889
1960,1976.96637177438,0.568544268430181,884.985914639304,0,0,0,24.5866664250692,5.40211037562909,25.9250747680664,23.6863504137312,1.567102432251,2.3135852813721,96.2305232824401,91.4171087710021,166.18812111406,35.0565373433718,333.420684993779,80.4362148220752,419.314023449301,99.7949660007986,620.753817878988
1961,1979.15742878129,0.603483540130634,3151.6643814207,0,0,0,25.12792857488,4.77789067091468,26.224507522583,24.318610055106,1.4092693328857,2.0410099029541,97.7733333333333,105.762082382099,204.305882352941,33.0928571428571,313,88.6,278.156087890132,346.279706590607,1146.27086099292
1962,1977.67007224064,0.637893377081368,1555,0,0,0,24.5894977251689,6.41997020489783,26.1239421844482,23.4586865561349,1.6884498596192,2.4635963439941,120.555555555556,96.3445959107483,196.763157894737,35.3823529411765,378.4,85.2,335.871832398265,138.853859294397,828.701183615232
1963,1977.71261736347,0.671601183664412,1597,0,0,0,24.8863650957743,7.29650530257713,26.7247535705566,23.6478710174561,2.0671997070312,2.9919128417969,58.7972222222222,111.00985839089,152.422222222222,27.5888888888889,192.8,71.3,112.496317503013,296.801049072317,769.896910777864
1964,1978.04144598864,0.704438111650862,1928,0,0,0,24.4731254577637,5.66437688066627,25.8738574981689,23.5451292310442,1.5795345306397,2.5226039886474,112.086111111111,78.3340077373292,173.963157894737,42.9294117647059,264.3,76.1,580.981505898029,180.847875633284,996.582825375586
1965,1970.24454387451,0.736239901570285,26595.5507334461,0,0,0,25.3319160143534,4.45249067516022,26.3172904968262,24.5432341439383,1.4563941955566,1.9730644226075,113.616666666667,65.7584977571175,166.347619047619,39.7933333333333,219.1,72.8,5.08238082029688e-22,2648.00162235822,3500.38357800045
1966,1978.36726473171,0.766847699119495,2268,0,0,0,25.1605976422628,6.64282143722472,26.7457798004151,23.9799671173096,2.1068515777588,2.5214538574219,134.527777777778,95.5965214903505,231.772222222222,37.2833333333333,333.1,88.4,363.094571854932,203.338038614027,966.819355159537
1967,1979.42366615865,0.796108842583746,3472,0,0,0,25.1436422665914,5.94770835488927,26.7249580383301,24.2080841064453,1.1473522186279,2.8076782226563,122.273913043478,109.834616279806,234.871428571429,27.692,501.4,83.6,529.853172235565,302.917797747652,1249.68620212924
1968,1981.07803897915,0.823877617402935,5875,0,0,0,24.2580140431722,6.71682402364177,25.8036975860596,23.092298235212,2.3814029693604,2.1473522186279,88.553488372093,78.5623356489586,154.741176470588,45.2769230769231,210.3,85,737.706256659111,854.45837250756,2560.27853310854
1969,1979.65855418948,0.850015974192204,3766,0,0,0,25.0254557927449,6.12404310107733,26.5931606292724,24.0209099905832,1.762035369873,2.3821754455566,105.529166666667,81.8029654050673,179.031818181818,43.3346153846154,289.7,88.9,608.882517045826,412.796056614761,1551.26971199333
1970,1980.98668465067,0.874394206722028,5715,0,0,0,24.8681740760803,6.16696457257706,26.3155372619629,23.8655689784459,1.2583427429199,2.9995880126953,88.3104166666667,79.7972133528034,156.288888888889,47.5233333333333,271.8,83.5,1008.58147008791,602.340042848528,2280.42257251875
1971,1980.50688899454,0.896891586574461,4941,0,0,0,25.1419223149618,8.3953641702905,27.3211326599121,23.7075958251953,2.4617443084717,3.2670173645019,118.635849056604,78.88420397171,191.74,53.3642857142857,287.2,85,1033.43305618743,626.85614870132,2072.46451661635
1972,1981.22558330021,0.917396951420413,6144,0,0,0,25.2679767608643,6.29506246498477,26.8594066619873,24.2071467808315,2.2937679290771,2.4804210662842,105.431666666667,81.8243769609154,176.974074074074,46.8969696969697,282.7,86.7,1343.71799050428,816.432759950021,2296.10775477353
1973,1982.46927027395,0.935809244104226,9736,0,0,0,25.462543964386,6.87266590461945,27.2422008514404,24.3310852050781,1.6268920898438,2.9378643035889,101.075,84.4761034780788,182.338461538462,38.9323529411765,220.9,86.8,277.832401278164,1106.46476668165,2793.0535130354
1974,1978.24711105024,0.952037999977709,2141.13857269876,0,0,0,25.2989862759908,6.08686923486276,26.8061210632324,24.2067636762347,1.7024402618408,2.3239765167236,88.705,103.06393184283,183.263636363636,33.9605263157895,308.2,89.9,167.365554846442,271.880101264359,862.167111059446
1975,1982.09808080987,0.966003780192221,8185,0,0,0,24.9341389338175,6.40055713404203,26.459243774414,23.8037921360561,2.3333606719971,2.2994308471679,107.963333333333,92.2858540646965,208.5375,40.9138888888889,272.6,77.9,717.813251407362,1134.5187870256,2726.61281673888
1976,1979.16703352703,0.977638548935235,3163,0,0,0,24.9446533521016,5.94869626265626,26.3365505218506,23.8568368639265,1.8465728759765,1.9921474456787,106.503333333333,59.1371339320781,148.897142857143,47.152,188.5,87.9,796.082566995435,322.368711296399,1511.28071707454
1977,1980.86451544277,0.986885992884045,5508,0,0,0,25.2354094187419,5.89223655324548,26.6862266540527,24.2538531167167,1.7483310699462,2.4482307434083,93.2816666666667,99.1202562637202,186.491304347826,35.3405405405405,268.3,88.2,663.061300259336,680.760625429013,1941.05102396074
1978,1973.0766461569,0.993701781443465,24720,43,1855,0,25.0984592437744,5.23204921121506,26.4295475006103,24.153016771589,1.6472835540772,1.6640167236328,84.9808510638298,84.9328233363827,163.064705882353,40.7333333333333,237.4,73.9,6.8579788941065e-18,2963.14103525229,1432.08775718317
1979,1976.83718665285,0.998053766634097,21723,0,0,0,24.8149387041728,4.76663448998714,25.86803855896,23.9816668374198,1.3628482818603,1.9368724822998,80.75,101.272676709828,170.12380952381,32.625641025641,362.7,85.9,8.4695260555203e-12,2332.78118918497,51.1962606771537
1980,1978.88015088745,0.999922121802617,2831,38,1190,0,25.0610286394755,5.92515238480052,26.5512084960938,24.0850309644427,1.5122051239014,2.799825668335,62.375,126.3091303118,193.646153846154,26.0659574468085,208.7,79.4,77.9052021104049,452.308493404125,1004.98781131455
1981,1978.69995127508,0.999299418632729,2629,39,1073,402,24.6076704661051,6.4787193915515,26.1858715057373,23.5045915331159,1.7286453247071,2.7265968322754,69.1683333333333,122.306475098779,177.516666666667,22.7333333333333,242.6,89.7,70.5816311004166,412.259851688239,1064.63697230518
1982,1979.29701550747,0.996190642244561,3318,183,1238,954,24.7295417785645,4.70921746851155,25.7496109008789,23.8505066462926,2.1925315856934,1.0028629302979,74.9816666666667,121.624659228802,165.890909090909,22.35,341.6,82.4,265.968547302285,504.950758483393,1215.39672548187
1983,1979.1483804892,0.990613144479053,3141,902,1276,117,25.0629784266154,6.17604222472716,26.6250389099121,24.0563520703997,1.4308490753174,2.6700477600098,138.98,72.4887462088712,201.340540540541,38.6608695652174,255.9,88.2,1029.01944950845,237.930924249922,1371.69980036764
1984,1980.3026596811,0.982596535771026,4639,566,1749,1682,25.3504487673442,6.2451328364132,26.8611419677734,24.3408682686942,1.9679164886475,3.1016807556152,103.693740431387,93.2834851248119,183.726874601875,36.5128344603493,316.210568296009,85.5196717550884,960.990424758035,572.778483844281,1699.0285070342
1985,1980.65347199671,0.972182516318668,5167,683,1189,1199,24.9405794143677,6.56670488028849,26.6055500030517,23.9123864855085,1.6567249298096,3.0858039855957,89.1081816390859,96.0275423083345,188.015124900573,33.5443370890349,327.783931925304,83.0375,521.097339207565,641.659570424084,1948.43281514584
1986,1981.51079745001,0.959424647556539,6709,473,1371,3516,25.4075163205465,7.01521951172168,27.187287902832,24.1869912828718,1.9417972564697,2.9889869689942,101.283806626457,96.4041176149992,196.573446218054,35.5022492911611,267.75,84.5366119591814,819.044843318267,854.061017080205,2297.37048598016
1987,1979.21176216527,0.944388065232377,3216,456,1433,73,25.4757132530212,5.88317228865658,27.0213687896728,24.4656592777797,1.6110935211181,2.4677238464356,99.2857608581822,90.4788162626179,208.116744421678,34.6722973108663,316.328779069767,79.3895833333333,372.450070642598,359.778721289293,1214.52479236919
1988,1979.3342807572,0.927149135673547,3363,806,1505,156,25.1828155517578,7.0085031211026,27.0167304992676,24.0127688816615,1.7962703704834,3.2048110961914,100.304838744232,87.4584125471028,176.224235235374,33.2605035898792,210.216666666667,85.0807511408013,498.65123023487,395.338829603868,1372.91222116118
1989,1978.91532690376,0.907795057105996,2871,472,1095,179,24.8951613108317,7.03384958580044,26.6698978424072,23.757755279541,1.8936195373535,2.6412982940674,109.260524691358,97.9057085949027,179.198189877043,37.0311867537306,346.469444444444,82.0458587059282,590.862234036654,321.100416189834,1198.43541724792
1990,1979.91777956197,0.886423408154489,4104.5,1083,1084,881.5,25.4905737241109,6.00086485957088,26.9617496490478,24.532343183245,1.7777976989746,2.8358917236328,92.1179579385587,98.2507465429174,198.761830814054,35.7025638990639,350.021210163652,84.430494286725,419.457289420443,517.003688701369,1450.44653186971
1991,1979.42407331541,0.863141645908404,3472.5,582,953,881.5,24.8930217425028,5.75427167761112,26.2660842895508,23.9544154575893,1.3995914459229,2.657636642456,96.674272277554,97.6539952648806,183.536762235622,35.3581841273611,290.033333333333,78.9027777777778,539.092763327561,382.850608562379,1365.38182815691
1992,1979.71430936031,0.838066556178734,3837.5,767,1133,881.5,25.0678510665894,5.35540153383082,26.4204849243164,24.2704794747489,0.877923965454102,2.6426124572754,87.1641025641026,109.279007106401,169.813333333333,35.5083333333333,399.8,83.4557601422153,588.532826122962,388.431608244125,1355.63171471142
1993,1980.02221658226,0.811323658800943,4245.5,520,1788,881.5,25.3972644805908,6.55698621253006,27.0108001708984,24.2992362976074,1.7498149871826,3.2060165405273,83.3829787234042,96.6467093242296,161.522222222222,34.8827586206897,260.1,86.3527027027027,536.16195395215,564.713571262356,1556.78752718346
1994,1980.02221658226,0.783046571050679,4245.5,520,1788,881.5,25.1891907056173,6.62114505127951,26.8401050567627,24.1014818464007,1.5907344818115,3.2218265533447,98.4822222222222,105.023360945279,199.405555555556,31.2,280.2,80.2967933570359,566.240239543229,498.249463771974,1546.43239859417
1995,1977.39737109052,0.753376332437337,1290,0,670,0,25.2456644376119,5.36229294528273,26.6466289520264,24.3688313620431,1.2930812835694,2.6168270111084,104.792592592593,91.7996739527064,190.06,31.2862068965517,268.2,82.4833333333333,392.333754506213,133.265796435196,627.861230129589
1996,1977.12640985159,0.722460694320087,1033.5,272.5,666.5,94.5,25.0414894421895,8.10553764894773,27.0475173950195,23.6494582039969,2.4555473327637,3.1722183227539,113.523333333333,89.7987082426271,204.7,33.74375,260.8,86,244.839030453321,90.1049106188579,667.298237065501
1997,1977.35295140953,0.690453377954393,1247.5,423,731.5,93,24.7414455413818,5.65991092791363,26.0007953643799,23.7295736585345,1.5762367248535,1.8676834106446,89.4316666666667,100.606492594288,177.05,31.0194444444444,279.1,82.7,196.562768992803,154.132112533249,687.874786547142
1998,1977.62377313787,0.657513304720526,1509.5,280.5,1052,177,25.4844408035278,6.99055382178822,27.2668720245361,24.1995315551758,2.1754722595215,2.5292453765869,89.5983333333333,80.0431439201807,156.3,35.0242424242424,162,88.9,258.072191639556,183.62663121416,745.911376223706
1999,1976.92887932545,0.623803802411014,850.5,260.5,487.5,102.5,25.1977203687032,7.71970643509664,27.2608497619629,23.8905318123953,2.0344257354737,2.9503116607666,79.9716666666667,101.11489433035,173.272727272727,25.9552631578947,190.7,73.6,261.729200408864,122.618780462465,566.808891646054
2000,1976.78587427966,0.58949179155989,720,199.5,420.5,100,25.3425857226054,5.81056487661602,26.6808139801025,24.3306127275739,1.6409587860108,2.6072578430175,94.955,100.062534556159,207.115,38.875,334.4,82,278.115921865191,86.1762577710537,484.87079809552
2001,1976.94302731683,0.554746955881304,863.5,333.5,398,132,25.8146432240804,6.47308232704549,27.5264942169189,24.6986939566476,1.6595420837403,2.7990684509277,67.8114285714286,104.998730546812,155.85,32.596,245.4,83.9815524436474,231.590387401343,154.486922183787,461.067587328337
2002,1976.90707861154,0.519740900950844,830.5,299.5,410,121,25.7052572568258,4.82216943504531,26.8992012023926,24.9147891998291,1.2879886627198,2.7015380859375,86.6826923076923,89.4416712921448,170.736842105263,38.2878787878788,184.6,83.3332624870241,470.43728539112,113.673596535244,453.603333667481
2003,1977.09480470599,0.484646305307353,1004,301,583,120,25.8321822484334,6.59007072341033,27.5329906463623,24.6726281302316,2.2494354248047,2.6535358428955,105.054166666667,93.0893387927349,195.916666666667,40.152380952381,312.9,88.5,359.778904805251,97.6167257939648,514.473216450569
2004,1977.28517648448,0.449636068176264,1183,351.5,704.5,127,25.1040658950806,5.45743002527262,26.5166599273682,24.2305938175746,0.973566055297901,2.6025390625,109.901388888889,85.8838981520417,187.679411764706,40.3105263157895,251.4,85.5,420.198031082043,113.541287884496,632.774544181917
2005,1977.30308194294,0.414882458019471,1200,359,711,130,25.5475656191508,5.04419607434831,26.8225845336914,24.7202565329416,1.125207901001,2.4972763061524,116.213888888889,73.4708284300398,184.291891891892,44.2457142857143,274.9,87.1,658.668948040838,99.6311889734026,599.820745589296
2006,1977.4103996887,0.380556266097818,1302.5,360.5,799.5,142.5,25.2230496406555,7.55061622855121,27.1579032897949,23.8849530901228,2.4042987823486,2.7778282165528,97.4819444444445,85.2382458328682,165.277142857143,33.3513513513514,267.3,77,419.846491809943,145.540118179368,717.925129837232
2007,1977.06310838637,0.346825969195469,974.5,364.5,504,106,25.4241059621175,6.3633654662082,27.0288688659668,24.3340443202427,1.9719924926758,2.5396308898926,100.406944444444,122.184103221816,203.086206896552,31.1581395348837,598.5,89.4,246.147182903659,113.359995351406,500.434303048679
2008,1979.61218403924,0.313856905595594,3707.05184419584,0,0,0,25.0577681859334,5.56232488314387,26.4804256439209,24.0882088797433,1.486536026001,2.0259780883789,131.338888888889,95.7427703178109,235.141176470588,38.4631578947368,431.7,85.5,663.34400898779,321.090906544348,1428.09447743015
2009,1979.92552558986,0.281810468319621,4114.86214390147,0,0,0,25.5720731417338,5.59731748057848,26.6618766784668,24.569278717041,2.2662792205811,2.2151470184326,127.913888888889,86.2015208177774,216.874285714286,43.7621621621622,281,86.2,1073.95789894035,451.673193905456,1524.07171871808
2010,1979.76283055193,0.250843319543787,3900.28963378771,0,0,0,25.5816140174866,8.42939964339884,27.7664222717285,24.0804320744106,2.518949508667,3.3253173828125,115.477777777778,105.41206432018,230.868965517241,37.6558139534884,427.6,88.5,337.499561146693,511.671885087995,1437.26483443916
2011,1980.97423903655,0.221106629990628,5693.55938576298,0,0,0,24.9041851361593,7.23991919324167,26.8188495635986,23.7320679255894,1.7151165008545,3.1765727996826,100.308333333333,108.990031233831,187.835294117647,21.9947368421053,389.6,78.7,1064.68264601664,689.890548521342,2042.81531504537
